t_index	 term	 df 
7459	knowingli	1
7460	knowledg	16
7461	known	140
7462	known:	2
7463	knoxvil	5
7464	kobe	1
7465	koch	1
7466	kofi	13
7467	kohl	2
7468	kohut	1
7469	kokilabehn	1
7470	koler	3
7471	koleskinov	1
7472	kolesnikov	13
7473	kollek	1
7474	kolubara	17
7475	kolubarska	1
7476	komasagua	1
7477	komers	2
7478	komsomolskaya	1
7479	konan	12
7480	kone	3
7481	kong	1
7482	konsensu	1
7483	korac	4
7484	koran	2
7485	korea	11
7486	korean	8
7487	korean-mad	1
7488	korhogo	8
7489	kornblum	1
7490	korton	1
7491	koryerov	1
7492	kosovar	3
7493	kosovo	47
7494	kosovo-albanian	1
7495	kosovor	1
7496	kosovska	1
7497	kostinitca	1
7498	kostolac	1
7499	kostrolot	1
7500	kostroma	1
7501	kostunica	103
7502	kothari	1
7503	kouassi	1
7504	kournikova	22
7505	kovac	1
7506	kovacev	4
7507	kragujevac	2
7508	kraljevo	1
7509	krall	1
7510	krasnaya	1
7511	kratochvil	2
7512	krauss	1
7513	kremlin	3
7514	krin	1
7515	krishna	1
7516	kristen	1
7517	kristi	1
7518	kristina	1
7519	krugel	2
7520	kubikov	1
7521	kucera	3
7522	kuchera	1
7523	kuerten	16
7524	kuerton	1
7525	kugel	1
7526	kuluada	1
7527	kumamoto	1
7528	kumbh	3
7529	kumsomolitz	1
7530	kuntal	3
7531	kurd	1
7532	kuroyedov	5
7533	kursk	55
7534	kursumlija	1
7535	kusa-tv	1
7536	kusi	1
7537	kutch	3
7538	kuwait	15
7539	kuwaiti	1
7540	kvashnin	1
7541	kyl	3
7542	kyushu	2
7543	lab	8
7544	label	7
7545	labor	23
7546	laboratori	12
7547	labori	1
7548	labu	1
7549	lac	1
7550	lace	3
7551	lacei	1
7552	lacina	1
7553	lack	46
7554	lackei	3
7555	lacki	1
7556	ladder	5
7557	laden	87
7558	laden-inspir	1
7559	laden:	1
7560	ladi	32
7561	lae	1
7562	lafayett	2
7563	lag	3
7564	lahat	1
7565	lahej	5
7566	lahiri	1
7567	lai	24
7568	laid	16
7569	laid-back	1
7570	laid-out	1
7571	lain	2
7572	lair	1
7573	lake	6
7574	lakeina	2
7575	lakiba	2
7576	lakshmi	3
7577	lal	1
7578	lam	4
7579	lamb	1
7580	lambast	1
7581	lambent	1
7582	lambert	2
7583	lame-duck	2
7584	lament	3
7585	lamont	1
7586	lamp	2
7587	lan	2
7588	lancast	1
7589	lanchin	1
7590	land	53
7591	landlord	6
7592	landmark	6
7593	landmines:	1
7594	landown	1
7595	landscap	3
7596	landslid	42
7597	landstuhl	21
7598	lane	3
7599	lang	1
7600	langdon	1
7601	langhorn	1
7602	langston	1
7603	languag	15
7604	language:	1
7605	languish	2
7606	lans	1
7607	lanviara	1
7608	lao	4
7609	lap	2
7610	lapdog	1
7611	lapel	3
7612	lapentti	1
7613	laps	16
7614	laquawensa	1
7615	lar	3
7616	lara	5
7617	lard	1
7618	larg	113
7619	large-scal	3
7620	larger	31
7621	larger-than-lif	2
7622	largess	1
7623	largest	78
7624	laron	1
7625	larri	34
7626	larson	3
7627	lasal	1
7628	laser	2
7629	lash	5
7630	last	14
7631	last-dai	1
7632	last-day-in-offic	1
7633	last-ditch	3
7634	last-minut	10
7635	latch	2
7636	late	159
7637	late-night	1
7638	latecom	2
7639	latent	2
7640	later	193
7641	latest	60
7642	latham	3
7643	latifah	1
7644	latin	18
7645	laud	4
7646	lauderdal	2
7647	laugh	6
7648	laughter	2
7649	launch	51
7650	launder	23
7651	laundri	1
7652	laura	4
7653	lauran	1
7654	laurent	29
7655	lauri	1
7656	lautenberg	6
7657	laver	11
7658	lavish	2
7659	lavishli	1
7660	law	118
7661	law-abid	1
7662	law-and-ord	1
7663	law-enforc	2
7664	lawfulli	1
7665	lawless	6
7666	lawmak	41
7667	lawn	5
7668	lawrenc	10
7669	lawsuit	2
7670	lawton	3
7671	lawyer	72
7672	lax	7
7673	laxiti	2
7674	laxman	3
7675	layer	3
7676	layoff	2
7677	layov	3
7678	lazarevac	1
7679	lazi	1
7680	lazili	1
7681	lazio	15
7682	lazo	1
7683	lead	179
7684	leadem	1
7685	leader	300
7686	leader:	1
7687	leadership	34
7688	leagu	4
7689	leak	15
7690	lean	7
7691	leap	4
7692	leap-ahead	1
7693	learn	59
7694	learnt	2
7695	leas	1
7696	leather	2
7697	leav	195
7698	leave-or-stai	3
7699	leavenworth	2
7700	leavitt	1
7701	lebanes	3
7702	lebanon	12
7703	lectur	2
7704	led	118
7705	lee	13
7706	leech-infest	4
7707	lefortovo	14
7708	lefrotovo	1
7709	left	245
7710	left-lean	6
7711	leftist	20
7712	leftov	4
7713	leg	37
7714	legaci	12
7715	legal	66
7716	legend	5
7717	legendari	2
7718	legion	1
7719	legisl	36
7720	legislatur	19
7721	legitim	12
7722	legitimaci	11
7723	lehan	1
7724	lehrer	3
7725	leicest	1
7726	leidig	1
7727	lend	11
7728	lender	2
7729	lendl	1
7730	length	8
7731	lengthi	9
7732	lenienc	4
7733	lenient	1
7734	leningradski	2
7735	lennard	1
7736	lent	1
7737	leon	5
7738	leonard	12
7739	leposava	1
7740	leprinc	1
7741	lesbian	1
7742	lesion	1
7743	leslei	1
7744	lesli	2
7745	less-damag	2
7746	lessen	1
7747	lesser	4
7748	lesson	12
7749	lesson-giv	2
7750	lest	1
7751	let	116
7752	letdown	1
7753	lethal	2
7754	letter	75
7755	letter-writ	1
7756	letup	1
7757	leve	1
7758	level	94
7759	lever	3
7760	leverag	2
7761	lewi	1
7762	lewinski	3
7763	lexington-frankfort	4
7764	lg	1
7765	li	27
7766	liabil	1
7767	liar	5
7768	libbi	2
7769	liber	29
7770	liberia	3
7771	liberti	8
7772	libido	1
7773	librari	3
7774	libya	3
7775	libyan	3
7776	licens	19
7777	lid	1
7778	lida	1
7779	lie	8
7780	lieberman	25
7781	lieberman:	1
7782	lien	1
7783	lieuten	14
7784	lieutenant-captain	1
7785	life	132
7786	lifeless	1
7787	lifelong	1
7788	lifestyl	2
7789	lifetim	4
7790	lift	81
7791	light	45
7792	light-blu	1
7793	light-brown	2
7794	lightbulb	1
7795	lighter	2
7796	lightheartedli	2
7797	lightli	4
7798	lightn	4
7799	like	347
7800	likelihood	3
7801	liken	1
7802	likin	2
7803	lilic	1
7804	lima	33
7805	limb	12
7806	lime	4
7807	limit	37
7808	limousin	10
7809	limp	5
7810	limpli	1
7811	lincoln	7
7812	linda	7
7813	lindenhurt	2
7814	lindi	1
7815	lindsai	41
7816	lindsei	2
7817	line	156
7818	lineman	1
7819	liner	1
7820	lineup	4
7821	linger	16
7822	linguist	1
7823	link	83
7824	lion	1
7825	lionel	1
7826	lioniz	1
7827	lip	2
7828	lipent	1
7829	lippin	1
7830	lippold	18
7831	liquid	2
7832	lir	1
7833	lisa	17
7834	lisnard	2
7835	list	97
7836	listen	28
7837	lister	1
7838	lists	1
7839	lit	7
7840	liter	12
7841	literaci	1
7842	literatur	2
7843	lith	1
7844	liton	1
7845	litter	3
7846	littl	160
7847	little-known	2
7848	litton	6
7849	littor	1
7850	liturgi	1
7851	liv	1
7852	live	215
7853	liveliest	1
7854	liver	1
7855	llagostera	3
7856	lleyton	7
7857	llosa	3
7858	lloyd	3
7859	lo	15
7860	load	50
7861	loader	5
7862	loan	22
7863	loayza	2
7864	lob	8
7865	lobbi	7
7866	lobbyist	1
7867	lobito	2
7868	local	100
7869	locani	2
7870	locat	49
7871	lock	19
7872	locker	1
7873	lockerbi	2
7874	lockup	1
7875	locu	1
7876	lodg	1
7877	loft	2
7878	lofti	2
7879	loftiest	1
7880	log	5
7881	log:	1
7882	logic	5
7883	logist	12
7884	logvinovich	1
7885	lohna	1
7886	loi	1
7887	loit	1
7888	london	26
7889	london-bas	7
7890	long-abandon	2
7891	long-bitt	1
7892	long-hair	1
7893	long-plan	1
7894	long-rang	1
7895	long-reach	1
7896	long-res	2
7897	long-rul	2
7898	long-shot	1
7899	long-simm	2
7900	long-stand	4
7901	long-suff	1
7902	long-suppress	1
7903	long-term	9
7904	long-tim	4
7905	long:	1
7906	longer	64
7907	longer-term	2
7908	longest	1
7909	longest-sought	1
7910	longest-surviv	1
7911	longev	1
7912	longshot	1
7913	longstand	4
7914	longtim	26
7915	look	219
7916	look-se	1
7917	lookout	3
7918	loom	7
7919	loop	1
7920	loophol	2
7921	loos	23
7922	loose-end	1
7923	loosen	7
7924	looser	2
7925	loot	11
7926	lopez	6
7927	lopsid	4
7928	loran	6
7929	lord	6
7930	lore	1
7931	lorensen	1
7932	lorenzo	6
7933	lori	1
7934	loron	2
7935	lorri	1
7936	lose	79
7937	loser	7
7938	loss	62
7939	lost	150
7940	lot	132
7941	lott	6
7942	lotteri	1
7943	lou	1
7944	loud	13
7945	loudli	1
7946	loudspeak	9
7947	loug	1
7948	loui	65
7949	louis-area	1
7950	louisiana	6
7951	louisvil	4
7952	lourd	1
7953	lousi	3
7954	love	49
7955	low-cut	2
7956	low-grad	4
7957	low-incom	2
7958	low-kei	3
7959	low-level	6
7960	low-profil	2
7961	low-tech	2
7962	lowel	3
7963	lower	24
7964	lower-level	1
7965	lower-rank	1
7966	lowest	4
7967	lowest-seed	1
7968	loyal	16
7969	loyalist	17
7970	loyalti	8
7971	lsd	1
7972	lubbock	1
7973	luci	1
7974	lucia	2
7975	luciano	1
7976	lucio	2
7977	luck	4
7978	lucki	20
7979	luckier	1
7980	luckiest	3
7981	lucr	2
7982	ludwig	1
7983	lugar	3
7984	luggag	1
7985	lui	8
7986	lukin	1
7987	lumber	3
7988	lumberjack	1
7989	luna	1
7990	lunch	12
7991	luncheon	3
7992	lunchtim	2
7993	lung	9
7994	luong	6
7995	lurid	1
7996	lurin	1
7997	lush	1
7998	lust	1
7999	luther	2
8000	lutheran	1
8001	luxembourg	3
8002	luxor	2
8003	luxuri	5
8004	lvador	1
8005	lwr	1
8006	ly	20
8007	lyhoog	1
8008	lynch	2
8009	lyndon	8
8010	lynn	2
8011	lyon	1
8012	lyric	3
8013	m-16	1
8014	mac	4
8015	macarthur	1
8016	macdonald	4
8017	maceda	11
8018	macedonia	2
8019	machaca	3
8020	machet	6
8021	machin	23
8022	machineri	4
8023	machinist	1
8024	mack	8
8025	macon	1
8026	madden	1
8027	maddock	1
8028	madelein	42
8029	madelin	4
8030	madinat	1
8031	madison	3
8032	madix	1
8033	madra	4
8034	madrassah	1
8035	madrid	14
8036	maelstrom	1
8037	mafia	3
8038	magana	6
8039	maganbhai	4
8040	magazin	13
8041	mager	1
8042	maggi	1
8043	magic	2
8044	magistr	3
8045	magnanim	3
8046	magnat	3
8047	magnet	1
8048	magnifi	4
8049	magnific	1
8050	magnitogorsk	2
8051	magnitud	40
8052	magnitude-5	1
8053	magnitude-6	3
8054	magnitude-7	11
8055	magnu	14
8056	magnum	4
8057	mahajan	2
8058	mahatma	1
8059	mahesh	1
8060	mahmood	1
8061	mahmoud	1
8062	mahogani	1
8063	mahopac	1
8064	mahur	3
8065	maiden	1
8066	mail	14
8067	maim	3
8068	main	117
8069	mainagashev	1
8070	mainland	1
8071	mainli	17
8072	mainstai	1
8073	maintain	48
8074	mainten	19
8075	mainupl	1
8076	maj	5
8077	majdanpek	1
8078	majoli	6
8079	major	198
8080	major-parti	1
8081	majority-albanian	1
8082	make	263
8083	make-shift	1
8084	maker	2
8085	makeshift	16
8086	maketa	1
8087	makeup	1
8088	malaysia	4
8089	malaysian	3
8090	malca	1
8091	malcolm	2
8092	male	2
8093	malevol	4
8094	malfunct	13
8095	malhotra	1
8096	mali	3
8097	malic	2
8098	maliss	1
8099	malivai	1
8100	mall	5
8101	malnourish	1
8102	malnutrit	1
8103	malon	1
8104	malonei	2
8105	mama	1
8106	mamad	2
8107	mamansk	1
8108	mammoth	2
8109	man	7
8110	man-mad	2
8111	man-siz	2
8112	manag	88
8113	manama	4
8114	mananga	1
8115	manannikova	1
8116	manau	1
8117	manchest	1
8118	mandat	9
8119	mandatori	7
8120	mandela	1
8121	maneuv	27
8122	mangal	1
8123	mangl	12
8124	mangu	1
8125	manhattan	10
8126	manhunt	27
8127	mania	3
8128	manifest	1
8129	manifold	1
8130	manind	1
8131	manipul	27
8132	mann	4
8133	manner	15
8134	manorama	1
8135	mansfield	1
8136	mansi	1
8137	mansion	21
8138	mansoob	1
8139	mansoon	1
8140	mantra	4
8141	manual	2
8142	manuel	5
8143	manufactur	12
8144	maoist	2
8145	map	8
8146	maquiladora	1
8147	mar	20
8148	maradiaga	1
8149	maraniss	1
8150	marat	27
8151	marathon	6
8152	marbella	1
8153	marbl	2
8154	marble-hal	1
8155	marburi	1
8156	marc	23
8157	marcela	1
8158	marcelo	2
8159	march	59
8160	marchenko	1
8161	marcher	6
8162	marci	1
8163	marco	7
8164	marg	1
8165	margaret	4
8166	margin	25
8167	margolin	2
8168	mari	27
8169	maria	13
8170	mariam	1
8171	mariana	2
8172	mariano	1
8173	marietta	3
8174	marija	1
8175	marijuana	5
8176	marilyn	4
8177	marin	39
8178	marine-born	1
8179	mario	9
8180	marit	2
8181	maritim	17
8182	marjanov	2
8183	mark	85
8184	market	33
8185	marketplac	2
8186	marko	11
8187	markov	10
8188	marlborough	2
8189	marlen	2
8190	marlin	15
8191	marlin:	2
8192	marlton	1
8193	marmian	1
8194	maroon	1
8195	marquez	15
8196	marrero	2
8197	marri	7
8198	marriag	5
8199	marroquin	1
8200	marrow	1
8201	marsha	1
8202	marshal	12
8203	marshallfor	1
8204	marshallreport	1
8205	marta	2
8206	martha	2
8207	marti	1
8208	martial	1
8209	martin	20
8210	martina	40
8211	martinez	8
8212	martyr	3
8213	martz	1
8214	marv	1
8215	marvel	2
8216	marxist	11
8217	maryland	3
8218	masia	1
8219	mask	5
8220	mason-dixon	3
8221	masonri	11
8222	masquerad	1
8223	mass	38
8224	massachusett	5
8225	massacr	6
8226	masseus	1
8227	massi	2
8228	massif	1
8229	massiv	65
8230	mast	1
8231	master	10
8232	masteri	1
8233	mastermind	33
8234	mat	1
8235	match	68
8236	matchup	6
8237	mate	18
8238	materi	42
8239	math	1
8240	mathemat	3
8241	mathewson	2
8242	mathieu	1
8243	matic	4
8244	matt	1
8245	matter	75
8246	matter-of-fact	1
8247	matters:	1
8248	matthew	8
8249	mattingli	1
8250	mattress	5
8251	matur	2
8252	mauresmo	6
8253	mauricio	1
8254	mauritania	4
8255	mauro	1
8256	mausoleum	3
8257	maxim	2
8258	maximalist	1
8259	maximum	20
8260	maximum-secur	17
8261	mayb	39
8262	mayhem	3
8263	mayor	30
8264	maze	2
8265	mbeki	3
8266	mcalest	3
8267	mcarthur	1
8268	mcauliff	4
8269	mcavoi	1
8270	mccain	5
8271	mccarthi	2
8272	mcclean	1
8273	mcclure	1
8274	mccollum	7
8275	mccomb	1
8276	mcconnel	1
8277	mcdaniel	1
8278	mcdonald	2
8279	mcdoogl	3
8280	mcdougal	12
8281	mcduff	1
8282	mcduge	1
8283	mcenro	2
8284	mcgwire	2
8285	mci	1
8286	mcintosh	1
8287	mcnamara	1
8288	mcveigh	1
8289	md	6
8290	meager	2
8291	meal	6
8292	mean	65
8293	meaning	2
8294	meant	22
8295	meantim	14
8296	measur	69
8297	meat	3
8298	mecca	2
8299	mechan	10
8300	mechanicsvil	3
8301	medal	10
8302	medalist	5
8303	media	68
8304	mediat	16
8305	medic	92
8306	medicar	13
8307	medicin	18
8308	medina	5
8309	medinat	2
8310	mediterranean	6
8311	medium	3
8312	medium-level	1
8313	medium-secur	2
8314	meena	1
8315	meet	171
8316	megaphon	1
8317	meghann	3
8318	megrahi	1
8319	meguid	1
8320	mehta	3
8321	mei	1
8322	mela	3
8323	melancholi	1
8324	melbourn	28
8325	mele	7
8326	melissa	7
8327	mell	1
8328	mellman	1
8329	melros	1
8330	melt	3
8331	melvin	4
8332	member	195
8333	membership	4
8334	memento	1
8335	memo	5
8336	memoir	1
8337	memor	4
8338	memorandum	1
8339	memori	58
8340	memphi	1
8341	men	217
8342	menac	1
8343	mend	3
8344	menet	1
8345	mengistu	1
8346	mensch	1
8347	mental	15
8348	mention	37
8349	mentor	1
8350	menu	2
8351	mer	1
8352	merced	3
8353	merchant	6
8354	merci	6
8355	merciless	1
8356	mere	17
8357	merg	3
8358	merger	2
8359	meri	2
8360	merianov	1
8361	merit	13
8362	merlin	1
8363	mermonsk	1
8364	mermosk	1
8365	mern	1
8366	merri	2
8367	mershon	8
8368	mesh	2
8369	mesmer	1
8370	mess	17
8371	messag	42
8372	message:	3
8373	messeng	1
8374	metal	32
8375	metal-cutt	1
8376	metal-edg	1
8377	metal-sl	1
8378	metallurg	2
8379	metaphor	3
8380	meteorolog	6
8381	meteorologist	3
8382	meter	2
8383	method	15
8384	methodist	2
8385	methodolog	1
8386	methyl	1
8387	meticul	4
8388	metropolitan	1
8389	mexican	4
8390	mexico	34
8391	mia	12
8392	miami	13
8393	miami-d	1
8394	miami-dad	2
8395	miand	1
8396	micandinov	1
8397	mich	7
8398	michael	45
8399	michal	3
8400	michel	4
8401	michella	1
8402	michigan	18
8403	mickelson	3
8404	mickli	1
8405	microphon	2
8406	microscop	2
8407	micunov	1
8408	mid	5
8409	mid-1980	1
8410	mid-1990	10
8411	mid-1996	1
8412	mid-30	1
8413	mid-40	1
8414	mid-90	1
8415	mid-afternoon	5
8416	mid-dai	1
8417	mid-decemb	2
8418	mid-gulf	1
8419	mid-morn	1
8420	mid-novemb	2
8421	mid-octob	1
8422	mid-septemb	4
8423	midafternoon	1
8424	middai	11
8425	middl	125
8426	middle-class	8
8427	mideast	25
8428	midnight	19
8429	midpoint	1
8430	midsect	3
8431	midst	7
8432	midstream	1
8433	midwai	2
8434	midweek	1
8435	midwest	3
8436	midwestern	1
8437	mif	1
8438	mift	1
8439	mighti	3
8440	migrant	2
8441	migrat	5
8442	miguel	11
8443	mihailova	1
8444	mihajlov	3
8445	miiltari	1
8446	mik	1
8447	mike	22
8448	mikhail	8
8449	mikhailov	1
8450	mikilo	1
8451	miklaszeski	1
8452	miklaszewski	14
8453	miklaszweski	1
8454	milagro	2
8455	milan	10
8456	milanko	1
8457	milanov	2
8458	mild	7
8459	mildli	1
8460	mildr	1
8461	mile	129
8462	mileston	2
8463	milica	2
8464	milit	38
8465	militantli	2
8466	militar	3
8467	militari	281
8468	militarili	8
8469	military-styl	1
8470	military-tim	1
8471	militia	2
8472	militiamen	1
8473	milivoj	1
8474	milivojev	1
8475	milk	1
8476	milken	17
8477	mill	3
8478	millenni	1
8479	millennium	4
8480	miller	6
8481	millimet	2
8482	million	191
8483	million-dollar	1
8484	millionair	15
8485	milo	3
8486	milosev	134
8487	milosevic-control	7
8488	milosevic:	6
8489	milosov	1
8490	milovan	2
8491	milroi	1
8492	milutin	4
8493	milutinov	9
8494	milwauke	3
8495	minaret	2
8496	minc	1
8497	mind	36
8498	minder	1
8499	mindset	1
8500	mine	16
8501	mine-infest	1
8502	mine-remov	1
8503	minefield	1
8504	miner	20
8505	minesweep	1
8506	mingl	3
8507	minh	24
8508	miniatur	1
8509	minim	3
8510	minimum	13
8511	minist	171
8512	ministri	35
8513	minivan	1
8514	minn	3
8515	minneapoli	2
8516	minner	1
8517	minnesota	12
8518	minnesotan	1
8519	minor	39
8520	mint	1
8521	minu	4
8522	minus-13	2
8523	minus-7	2
8524	minut	92
8525	mira	3
8526	miracl	10
8527	miracul	6
8528	miranda	3
8529	mirco	1
8530	miriam	1
8531	mirjana	9
8532	mirko	2
8533	miroljub	1
8534	miroslav	2
8535	miroslava	2
8536	mirror	3
8537	misappli	2
8538	miscalcul	1
8539	misconduct	1
8540	misconstru	1
8541	miscu	1
8542	misde	2
8543	misdemeanor	8
8544	miser	4
8545	miseri	1
8546	misfir	3
8547	misfortun	1
8548	misguid	1
8549	misha	2
8550	mishandl	6
8551	mishap	1
8552	mishra	1
8553	misinform	2
8554	misl	2
8555	mislead	1
8556	mismanag	3
8557	mismatch	4
8558	misnom	1
8559	mispronounc	1
8560	misrepres	1
8561	misrepresent	1
8562	miss	151
8563	missil	52
8564	mission	54
8565	mission:	1
8566	missionari	3
8567	mississippi	13
8568	missouri	67
8569	missouri-columbia	1
8570	missourian	6
8571	misspel	1
8572	misstat	3
8573	misstep	2
8574	mistak	32
8575	mistaken	3
8576	mistreat	4
8577	mistress	6
8578	mistrust	1
8579	misunderstand	3
8580	misunderstood	4
8581	misus	2
8582	mitch	5
8583	mitchel	7
8584	mitic	2
8585	mitig	5
8586	mitra	1
8587	mitrovica	1
8588	mittman	1
8589	mix	26
8590	mixtur	3
8591	mladic	2
8592	mladjan	3
8593	moammar	1
8594	moan	1
8595	mob	27
8596	mobil	17
8597	mock	5
8598	mockeri	1
8599	mode	4
8600	model	12
8601	moder	29
8602	modern	24
8603	modest	7
8604	modifi	6
8605	mofrt	1
8606	mogul	5
8607	moham	24
8608	mohammad	1
8609	mohm	1
8610	mohsen	3
8611	moin	1
8612	molass	1
8613	mold	1
8614	mole	1
8615	molest	1
8616	molotov	1
8617	mom	5
8618	momcilo	1
8619	moment	110
8620	moment-by-mo	1
8621	moments	1
8622	momentum	12
8623	momir	5
8624	mommi	1
8625	mona	1
8626	monarch	1
8627	monarchi	1
8628	monasteri	1
8629	mondai	207
8630	monday:	3
8631	monei	110
8632	monetari	13
8633	money-laund	6
8634	monger	1
8635	monica	32
8636	moniqu	1
8637	monitor	15
8638	monopol	1
8639	monoxid	2
8640	monsignor	1
8641	mont	1
8642	montana	9
8643	montecino	5
8644	montelo	1
8645	montenegrin	7
8646	montenegro	23
8647	montesino	41
8648	montesseno	1
8649	montgomeri	2
8650	month	261
8651	monthli	1
8652	monthlong	1
8653	monticello	1
8654	montonegro	1
8655	montono	1
8656	montoursvil	1
8657	monument	3
8658	moo	1
8659	mood	19
8660	moolgd	1
8661	moon	1
8662	moonei	1
8663	mooni	1
8664	moor	35
8665	moorin	1
8666	moot	1
8667	mope	1
8668	moral	38
8669	morali	1
8670	morariu	4
8671	moratorium	5
8672	more-limit	1
8673	moreno	8
8674	moresmo	1
8675	morgan	1
8676	morgu	8
8677	mori	5
8678	morison	1
8679	mork	1
8680	morn	138
8681	moroccan	1
8682	moroccans:	1
8683	morocco	8
8684	moros	1
8685	morph	1
8686	morrano	1
8687	morri	2
8688	morrisvil	2
8689	mortal	2
8690	mortar	4
8691	morton	3
8692	moscow	79
8693	mosqu	14
8694	mosquito	1
8695	mossad	1
8696	most-visit	1
8697	most-want	7
8698	motahar	1
8699	motel	8
8700	motel-apart	1
8701	moth	1
8702	mother	64
8703	motherland	1
8704	motherless	1
8705	motion	11
8706	motiv	19
8707	motlei	1
8708	motor	19
8709	motorbik	1
8710	motorcad	11
8711	motorcycl	6
8712	motorist	1
8713	motsak	4
8714	motto	1
8715	motto:	1
8716	mound	11
8717	mount	31
8718	mountain	37
8719	mountainsid	6
8720	mountaintop	1
8721	mourn	21
8722	mourner	11
8723	mourners:	1
8724	mourton	1
8725	mouth	4
8726	mouthpiec	3
8727	move	138
8728	movement	37
8729	mover	3
8730	movi	9
8731	movie-star	1
8732	mow	2
8733	moya	10
8734	moynihan	5
8735	moyo	1
8736	mozambiqu	2
8737	mph	16
8738	mr	151
8739	mra	2
8740	mrclinton	1
8741	msnbc	5
8742	mtv	1
8743	mubarak	6
8744	much-await	1
8745	much-talked-about	1
8746	mud	23
8747	mud-brick	2
8748	mud-cov	1
8749	muddi	4
8750	muddl	3
8751	mudslid	5
8752	mueller	5
8753	muezzin	1
8754	muffl	3
8755	mug	2
8756	mugab	1
8757	muham	1
8758	muhammad	7
8759	mujahedeen	1
8760	mujahedin	1
8761	mujahid	1
8762	mull	3
8763	mullah	1
8764	mulligan	1
8765	mullin	9
8766	mulshankar	3
8767	multi-million	1
8768	multifacet	2
8769	multilingu	1
8770	multimillion-dollar	2
8771	multimillionair	3
8772	multin	4
8773	multiparti	2
8774	multipl	11
8775	multipli	1
8776	multistori	7
8777	multitude:	2
8778	mum	2
8779	mumbai	1
8780	munchak	1
8781	mundan	2
8782	munich	1
8783	municip	17
8784	munit	3
8785	muprhi	1
8786	muqbel	1
8787	murder	52
8788	murdoch	1
8789	murk	1
8790	murki	3
8791	murmansk	5
8792	murmosk	1
8793	murousi	1
8794	murphi	21
8795	murrai	2
8796	murtza	1
8797	muscl	4
8798	muscular	1
8799	muse	1
8800	museum	7
8801	musharraf	4
8802	music	13
8803	musician	2
8804	muslim	58
8805	mustach	2
8806	muster	1
8807	mustn	3
8808	mute	9
8809	mutil	2
8810	mutin	1
8811	mutini	7
8812	muttawakil	1
8813	mutter	1
8814	mutual	1
8815	myakka	1
8816	myasthenia	1
8817	mydan	1
8818	myer	4
8819	myong	2
8820	mysteri	17
8821	mystiqu	1
8822	myth	2
8823	mythic	1
8824	myths:	1
8825	naacp	1
8826	nab	2
8827	nabil	1
8828	nachtig	4
8829	nacion	1
8830	nadejda	1
8831	nader	10
8832	nader:	2
8833	nadia	1
8834	nadler	1
8835	nadu	1
8836	nagel	1
8837	nagl	1
8838	nagyova	3
8839	nai	1
8840	nail-bit	1
8841	nail-stud	2
8842	naina	5
8843	nainabehn	1
8844	nairobi	6
8845	nairri	1
8846	naiv	1
8847	naji	1
8848	najjar	1
8849	nake	2
8850	namast	1
8851	nambiar	1
8852	name	81
8853	namesak	1
8854	namrata	5
8855	nanci	3
8856	nanni	1
8857	nanuet	1
8858	naoya	1
8859	nap	2
8860	narayan	2
8861	narayanan	1
8862	narbheram	1
8863	narcot	13
8864	narr	1
8865	narrow	28
8866	narrow-lan	1
8867	narrowli	9
8868	nasa	1
8869	nasdaq	1
8870	nashvil	7
8871	nasir	1
8872	nasr	1
8873	nassou	2
8874	nasti	1
8875	nastier	1
8876	natalia	1
8877	nath	1
8878	nati	1
8879	nation	331
8880	nation-wid	1
8881	nationalcop	1
8882	nationalist	15
8883	nationwid	20
8884	nativ	18
8885	nato	47
8886	nato-l	1
8887	natop	1
8888	natta	1
8889	natter	11
8890	natur	48
8891	nauf	1
8892	navajo	4
8893	naval	108
8894	navarro	1
8895	navasota	1
8896	navcent	2
8897	navel	1
8898	navi	230
8899	navig	2
8900	navnirman	1
8901	navpalib	4
8902	navrotski	8
8903	navstanorva	1
8904	navy-blu	1
8905	navy-l	1
8906	navy-town	1
8907	navy:	4
8908	navymen	2
8909	nazi	3
8910	nbc	65
8911	nbc-new	1
8912	nea	1
8913	near	179
8914	near-miracul	1
8915	near-savag	2
8916	nearbi	66
8917	nearest	1
8918	nearli	115
8919	neat	4
8920	neatli	1
8921	neb	1
8922	nebojsa	15
8923	nebraska	4
8924	necess	2
8925	necessari	30
8926	necessarili	8
8927	necessit	3
8928	neck	6
8929	neck-and-neck	3
8930	ned	1
8931	need	210
8932	needi	1
8933	neediest	1
8934	needl	1
8935	neeman	1
8936	neg	12
8937	negat	1
8938	neglect	2
8939	neglig	4
8940	negoti	63
8941	neighbor	83
8942	neighborhood	54
8943	neighborli	5
8944	neil	2
8945	neill	3
8946	nelli	1
8947	nelson	8
8948	nemesi	4
8949	nemeth	1
8950	nena	1
8951	nenad	10
8952	nenadov	1
8953	nene	1
8954	neo-communist	7
8955	nepal	8
8956	nephew	5
8957	neruda	2
8958	nerv	5
8959	nervou	12
8960	nervous	4
8961	nese	1
8962	ness	1
8963	nest	1
8964	net	28
8965	net:	54
8966	netherland	15
8967	network	61
8968	neutral	4
8969	nevada	7
8970	never-say-quit	1
8971	nevypolneniy	1
8972	new	610
8973	new-found	1
8974	newark	1
8975	newburi	21
8976	newcomb	1
8977	newer	1
8978	newest	6
8979	newfound	1
8980	newli	34
8981	newlyw	2
8982	newport	2
8983	news-stori	1
8984	newscast	7
8985	newslett	4
8986	newsmagazin	1
8987	newsnow	1
8988	newspap	58
8989	newsroom	1
8990	newsstand	1
